(1.0, (45, 25), None)
(13.82842712474619, (32, 23), (33, 23))
(13.82842712474619, (47, 12), (47, 13))
(13.82842712474619, (43, 12), (43, 13))
(13.82842712474619, (32, 27), (33, 27))
(13.82842712474619, (32, 23), (33, 23))
(13.82842712474619, (47, 12), (47, 13))
(13.899494936611667, (43, 12), (43, 13))
(13.899494936611667, (34, 18), (35, 19))
(14.0, (38, 14), (39, 15))
(14.0, (31, 25), (32, 25))
(14.071067811865476, (45, 11), (45, 12))
(14.142135623730955, (33, 20), (34, 21))
(14.242640687119284, (35, 15), (36, 16))
(14.242640687119284, (32, 28), (33, 28))
(14.242640687119284, (32, 22), (33, 22))
(14.242640687119284, (48, 12), (48, 13))
(14.242640687119284, (42, 12), (42, 13))
(14.242640687119284, (32, 28), (33, 28))
(14.242640687119284, (32, 22), (33, 22))
(14.242640687119284, (48, 12), (48, 13))
(14.313708498984763, (42, 12), (42, 13))
(14.313708498984763, (34, 17), (35, 18))
(14.414213562373096, (37, 14), (38, 15))
(14.414213562373096, (31, 26), (32, 25))
(14.414213562373096, (31, 24), (32, 25))
(14.414213562373096, (46, 11), (45, 12))
(14.485281374238571, (44, 11), (45, 12))
(14.485281374238571, (33, 19), (34, 20))
(14.65685424949238, (39, 13), (39, 14))
(14.65685424949238, (32, 29), (33, 28))
(14.65685424949238, (32, 21), (33, 22))
(14.65685424949238, (49, 12), (48, 13))
(14.727922061357859, (41, 12), (42, 13))
(14.727922061357859, (34, 16), (35, 17))
(14.82842712474619, (36, 14), (37, 15))
(14.82842712474619, (31, 27), (32, 27))
(14.82842712474619, (31, 23), (32, 23))
(14.82842712474619, (47, 11), (47, 12))
(14.82842712474619, (43, 11), (43, 12))
(14.82842712474619, (31, 27), (32, 27))
(14.82842712474619, (31, 23), (32, 23))
(14.82842712474619, (47, 11), (47, 12))
(14.899494936611667, (43, 11), (43, 12))
(14.899494936611667, (33, 18), (34, 19))
(15.0, (38, 13), (39, 14))
(15.071067811865476, (45, 10), (45, 11))
(15.142135623730955, (32, 20), (33, 21))
(15.142135623730955, (34, 15), (35, 16))
(15.242640687119284, (35, 14), (36, 15))
(15.242640687119284, (31, 28), (32, 28))
(15.242640687119284, (31, 22), (32, 22))
(15.242640687119284, (48, 11), (48, 12))
(15.242640687119284, (42, 11), (42, 12))
(15.242640687119284, (31, 28), (32, 28))
(15.242640687119284, (31, 22), (32, 22))
(15.242640687119284, (48, 11), (48, 12))
(15.313708498984763, (42, 11), (42, 12))
(15.313708498984763, (33, 17), (34, 18))
(15.414213562373096, (37, 13), (38, 14))
(15.414213562373096, (46, 10), (45, 11))
(15.485281374238571, (44, 10), (45, 11))
(15.485281374238571, (32, 19), (33, 20))
(15.55634918610405, (39, 12), (39, 13))
(15.65685424949238, (34, 14), (35, 15))
(15.65685424949238, (31, 29), (32, 28))
(15.65685424949238, (31, 21), (32, 22))
(15.65685424949238, (49, 11), (48, 12))
(15.727922061357859, (41, 11), (42, 12))
(15.727922061357859, (33, 16), (34, 17))
(15.82842712474619, (36, 13), (37, 14))
(15.82842712474619, (47, 10), (47, 11))
(15.82842712474619, (43, 10), (43, 11))
(15.82842712474619, (47, 10), (47, 11))
(15.899494936611667, (43, 10), (43, 11))
(15.899494936611667, (32, 18), (33, 19))
(16.0, (38, 12), (39, 13))
(16.071067811865476, (45, 9), (45, 10))
(16.142135623730955, (31, 20), (32, 21))
(16.142135623730955, (33, 15), (34, 16))
(16.242640687119284, (35, 13), (36, 14))
(16.242640687119284, (48, 10), (47, 11))
(16.313708498984763, (42, 10), (43, 11))
(16.313708498984763, (32, 17), (33, 18))
(16.414213562373096, (37, 12), (38, 13))
(16.414213562373096, (46, 9), (45, 10))
(16.48528137423857, (44, 9), (45, 10))
(16.48528137423857, (31, 19), (32, 20))
(16.55634918610405, (39, 11), (39, 12))
(16.55634918610405, (33, 14), (34, 15))
(16.65685424949238, (34, 13), (35, 14))
(16.65685424949238, (49, 10), (48, 11))
(16.72792206135786, (41, 10), (42, 11))
(16.72792206135786, (32, 16), (33, 17))
(16.82842712474619, (36, 12), (37, 13))
(16.82842712474619, (47, 9), (46, 10))
(16.899494936611667, (43, 9), (44, 10))
(16.899494936611667, (31, 18), (32, 19))
(16.970562748477146, (38, 11), (39, 12))
(17.0, (33, 13), (34, 14))
(17.142135623730955, (45, 8), (45, 9))
(17.142135623730955, (32, 15), (33, 16))
(17.242640687119284, (35, 12), (36, 13))
(17.242640687119284, (48, 9), (47, 10))
(17.313708498984763, (42, 9), (43, 10))
(17.313708498984763, (31, 17), (32, 18))
(17.414213562373096, (37, 11), (38, 12))
(17.414213562373096, (46, 8), (45, 9))
(17.48528137423857, (44, 8), (45, 9))
(17.55634918610405, (39, 10), (39, 11))
(17.55634918610405, (32, 14), (33, 15))
(17.65685424949238, (34, 12), (35, 13))
(17.65685424949238, (49, 9), (48, 10))
(17.72792206135786, (41, 9), (42, 10))
(17.72792206135786, (31, 16), (32, 17))
(17.82842712474619, (36, 11), (37, 12))
(17.82842712474619, (47, 8), (46, 9))
(17.899494936611667, (43, 8), (44, 9))
(17.970562748477146, (38, 10), (39, 11))
(17.970562748477146, (32, 13), (33, 14))
(18.0, (33, 12), (34, 13))
(18.142135623730955, (45, 7), (45, 8))
(18.142135623730955, (31, 15), (32, 16))
(18.242640687119284, (35, 11), (36, 12))
(18.242640687119284, (48, 8), (48, 9))
(18.242640687119284, (42, 8), (42, 9))
(18.242640687119284, (48, 8), (48, 9))
(18.313708498984763, (42, 8), (42, 9))
(18.384776310850242, (37, 10), (38, 11))
(18.414213562373096, (32, 12), (33, 13))
(18.414213562373096, (46, 7), (45, 8))
(18.48528137423857, (44, 7), (45, 8))
(18.55634918610405, (39, 9), (39, 10))
(18.55634918610405, (31, 14), (32, 15))
(18.65685424949238, (34, 11), (35, 12))
(18.65685424949238, (49, 8), (48, 9))
(18.72792206135786, (41, 8), (42, 9))
(18.82842712474619, (36, 10), (37, 11))
(18.82842712474619, (47, 7), (46, 8))
(18.899494936611667, (43, 7), (44, 8))
(18.970562748477146, (38, 9), (39, 10))
(18.970562748477146, (31, 13), (32, 14))
(19.0, (33, 11), (34, 12))
(19.142135623730955, (45, 6), (45, 7))
(19.242640687119284, (35, 10), (36, 11))
(19.242640687119284, (48, 7), (48, 8))
(19.242640687119284, (42, 7), (42, 8))
(19.242640687119284, (48, 7), (48, 8))
(19.313708498984763, (42, 7), (42, 8))
(19.384776310850242, (37, 9), (38, 10))
(19.384776310850242, (31, 12), (32, 13))
(19.414213562373096, (32, 11), (33, 12))
(19.414213562373096, (46, 6), (45, 7))
(19.48528137423857, (44, 6), (45, 7))
(19.55634918610405, (39, 8), (39, 9))
(19.55634918610405, (34, 10), (35, 11))
(19.65685424949238, (30, 14), (31, 14))
(19.65685424949238, (49, 7), (48, 8))
(19.72792206135786, (41, 7), (42, 8))
